MedicineName,Category,Company,BatchNo,BuyPrice,SellingPrice,Stock,ExpiryDate,Barcode
Product 0276,Dermatology,BioHeal,BATCH-4994-C,137.17,166.60,98,2026-06-14,881595912851
Product 0277,Respiratory,HealthCorp,BATCH-6708-A,221.39,284.98,227,2027-10-25,888064984488
Product 0278,Antiseptic,PentaHealth,BATCH-7948-B,201.99,233.59,146,2027-11-28,629042521750
Product 0279,Respiratory,CureChem,BATCH-4103-A,445.76,532.30,342,2027-02-21,932999650856
Product 0280,Diabetes,PharmaPlus,BATCH-2165-C,389.77,523.17,342,2026-08-25,155226221183
Product 0281,Cardiac,MediPharm,BATCH-6452-B,342.43,477.80,47,2027-06-30,541024012934
Product 0282,Vitamin,HealthCorp,BATCH-9035-D,86.67,127.62,470,2028-04-21,731310687746
Product 0283,Vitamin,WellLife,BATCH-9702-C,261.13,386.92,189,2027-08-13,623847295456
Product 0284,Diabetes,PharmaPlus,BATCH-3465-D,219.39,317.87,308,2027-05-12,255025738358
Product 0285,Analgesic,NovaPharma,BATCH-4907-B,457.11,536.69,119,2026-05-26,982449338212
Product 0286,Diabetes,MediPharm,BATCH-5464-B,303.25,424.96,198,2026-09-07,503031601504
Product 0287,Antibiotic,BioHeal,BATCH-4097-A,473.67,675.30,369,2027-01-26,747134320055
Product 0288,Antibiotic,BioHeal,BATCH-8112-B,181.95,224.94,426,2026-06-02,484044414982
Product 0289,Vitamin,WellLife,BATCH-5060-B,470.07,687.47,489,2027-11-14,170463734343
Product 0290,Cardiac,LifeMeds,BATCH-5416-B,180.34,228.55,165,2027-08-15,326845630352
Product 0291,Analgesic,LifeMeds,BATCH-7153-E,127.17,177.62,183,2026-11-26,185024829249
Product 0292,Antacid,WellLife,BATCH-5154-B,131.23,171.72,335,2027-06-27,156344834740
Product 0293,Analgesic,MediPharm,BATCH-2722-E,119.42,159.17,144,2027-12-10,950237329299
Product 0294,Antiseptic,PharmaPlus,BATCH-7664-D,473.06,633.25,103,2027-09-09,792931463917
Product 0295,Cardiac,HealthCorp,BATCH-4484-E,156.15,203.41,129,2027-09-23,614321703588
Product 0296,Cardiac,HealthCorp,BATCH-9369-E,498.96,649.69,95,2026-04-07,564942758058
Product 0297,Antibiotic,LifeMeds,BATCH-8951-A,251.88,350.25,61,2028-03-02,145060585896
Product 0298,Dermatology,WellLife,BATCH-2736-E,312.29,447.05,64,2026-12-29,393145435465
Product 0299,Antibiotic,MediPharm,BATCH-2499-B,120.91,174.92,456,2027-11-07,782354618380
Product 0300,Antiseptic,WellLife,BATCH-1350-D,449.25,607.25,401,2027-09-29,923169480792
Product 0301,Analgesic,WellLife,BATCH-2457-B,74.29,111.17,20,2027-02-03,464818549574
Product 0302,Vitamin,MediPharm,BATCH-6488-A,159.24,231.70,251,2027-09-02,968688959670
Product 0303,Dermatology,NovaPharma,BATCH-1186-D,195.20,291.90,144,2026-06-06,214004740058
Product 0304,Analgesic,NovaPharma,BATCH-9364-B,429.34,593.04,309,2027-02-25,967270502554
Product 0305,Respiratory,NovaPharma,BATCH-9272-D,237.66,335.40,52,2027-03-21,257369213074
Product 0306,Antihistamine,CareGen,BATCH-2927-D,452.35,602.82,426,2027-04-03,611602133232
Product 0307,Vitamin,PharmaPlus,BATCH-1200-E,379.25,445.04,175,2026-10-30,990193553049
Product 0308,Analgesic,BioHeal,BATCH-4841-C,248.26,326.55,47,2026-04-28,619487965417
Product 0309,Diabetes,BioHeal,BATCH-1428-C,278.89,352.90,411,2027-12-31,708003585609
Product 0310,Antihistamine,BioHeal,BATCH-5642-D,146.86,210.15,110,2027-03-06,357079760409
Product 0311,Antiseptic,CureChem,BATCH-2976-B,486.27,710.45,67,2026-05-25,402161030491
Product 0312,Antibiotic,WellLife,BATCH-3070-A,120.38,146.11,224,2026-10-13,588773574599
Product 0313,Analgesic,HealthCorp,BATCH-8010-E,48.55,67.85,442,2026-09-05,289463375112
Product 0314,Respiratory,HealthCorp,BATCH-4800-B,470.40,609.69,254,2028-01-11,489065141131
Product 0315,Diabetes,NovaPharma,BATCH-3493-E,476.89,613.76,119,2026-12-05,683701713046
Product 0316,Antacid,PharmaPlus,BATCH-9354-A,236.81,283.99,416,2027-10-03,629008082371
Product 0317,Diabetes,NovaPharma,BATCH-8023-C,277.31,362.72,397,2028-05-07,957220237313
Product 0318,Antacid,CareGen,BATCH-8747-E,97.65,114.10,313,2027-03-10,814087671939
Product 0319,Antihistamine,LifeMeds,BATCH-6714-B,166.72,238.97,238,2027-07-01,295756291957
Product 0320,Vitamin,PentaHealth,BATCH-9454-B,469.77,702.23,84,2026-06-11,826793665188
Product 0321,Diabetes,PharmaPlus,BATCH-3504-A,83.07,107.56,224,2026-12-10,932379106833
Product 0322,Analgesic,CareGen,BATCH-9856-C,479.01,584.52,300,2026-10-31,621577709443
Product 0323,Antihistamine,PharmaPlus,BATCH-2730-D,367.44,539.55,79,2026-06-23,161543248391
Product 0324,Antiseptic,CureChem,BATCH-2627-D,55.41,79.35,290,2028-01-05,883746330847
Product 0325,Cardiac,MediPharm,BATCH-6590-C,296.68,415.30,354,2028-02-22,836197056268
Product 0326,Cardiac,LifeMeds,BATCH-4625-A,360.78,491.93,470,2026-11-13,176348931870
Product 0327,Antiseptic,MediPharm,BATCH-5605-D,409.24,581.94,307,2027-10-13,400078081679
Product 0328,Analgesic,MediPharm,BATCH-1717-A,476.81,623.44,211,2026-08-30,864930378583
Product 0329,Vitamin,HealthCorp,BATCH-1712-B,334.82,459.24,490,2026-04-09,809656778031
Product 0330,Antiseptic,NovaPharma,BATCH-9395-D,49.99,65.92,201,2027-12-20,571414171627
Product 0331,Dermatology,NovaPharma,BATCH-8102-A,476.96,661.27,211,2027-05-24,736885839260
Product 0332,Antiseptic,HealthCorp,BATCH-8559-E,239.79,294.95,473,2027-03-24,303304852556
Product 0333,Antiseptic,PentaHealth,BATCH-5106-D,191.26,261.87,244,2028-01-09,578456078301
Product 0334,Antiseptic,BioHeal,BATCH-5843-D,31.34,43.04,375,2028-02-12,512194953144
Product 0335,Dermatology,LifeMeds,BATCH-9942-C,105.19,130.08,22,2026-07-24,115897650582
Product 0336,Antibiotic,CareGen,BATCH-7081-C,136.85,192.69,194,2027-09-12,521123318860
Product 0337,Cardiac,PentaHealth,BATCH-9467-C,430.72,577.53,120,2028-06-08,342541902023
Product 0338,Antibiotic,MediPharm,BATCH-4898-E,27.75,33.82,490,2026-06-04,583911639136
Product 0339,Analgesic,NovaPharma,BATCH-2040-B,187.27,244.03,360,2027-12-07,739299213947
Product 0340,Analgesic,NovaPharma,BATCH-9809-E,183.94,248.95,435,2026-06-28,222199350782
Product 0341,Antibiotic,PharmaPlus,BATCH-3576-A,285.72,359.83,490,2028-06-08,855412930015
Product 0342,Vitamin,BioHeal,BATCH-3723-A,152.22,189.38,498,2027-01-23,275720162087
Product 0343,Antihistamine,MediPharm,BATCH-6359-C,161.00,207.60,279,2026-10-30,217151035045
Product 0344,Antiseptic,PharmaPlus,BATCH-4016-D,412.14,484.17,359,2027-03-24,480652359829
Product 0345,Antibiotic,BioHeal,BATCH-3247-A,38.14,53.79,121,2026-08-25,274281000442
Product 0346,Antacid,PharmaPlus,BATCH-6334-E,105.70,150.93,346,2026-06-25,964357901469
Product 0347,Antibiotic,NovaPharma,BATCH-7403-D,493.50,586.79,30,2026-10-16,564784808559
Product 0348,Dermatology,LifeMeds,BATCH-3558-B,311.72,424.86,49,2028-04-23,873199494466
Product 0349,Vitamin,MediPharm,BATCH-6013-A,56.53,76.26,130,2027-09-15,164158245554
Product 0350,Antihistamine,PharmaPlus,BATCH-5435-A,411.26,481.25,349,2026-04-27,573024963588
Product 0351,Dermatology,BioHeal,BATCH-7383-C,440.41,601.38,223,2027-07-27,390365879260
Product 0352,Antiseptic,CareGen,BATCH-6563-A,372.13,554.52,413,2026-10-29,927697597862
Product 0353,Diabetes,CureChem,BATCH-2527-B,109.61,146.58,75,2026-06-25,480824309766
Product 0354,Analgesic,PharmaPlus,BATCH-7058-E,245.32,286.12,425,2027-09-28,876283932538
Product 0355,Respiratory,NovaPharma,BATCH-7630-B,132.62,184.70,93,2027-01-31,652578869422
Product 0356,Antacid,CureChem,BATCH-8608-E,214.80,306.48,229,2026-09-08,239626042694
Product 0357,Vitamin,PharmaPlus,BATCH-8381-E,124.85,157.39,127,2028-04-04,277007535813
Product 0358,Vitamin,NovaPharma,BATCH-6984-A,410.95,488.18,474,2027-11-27,264864169768
Product 0359,Antacid,PharmaPlus,BATCH-6408-C,394.35,533.36,76,2026-04-13,286589041555
Product 0360,Antihistamine,PentaHealth,BATCH-1600-E,192.85,262.57,415,2027-03-08,703549901436
Product 0361,Respiratory,PharmaPlus,BATCH-3962-A,437.59,544.31,457,2026-07-22,540876728516
Product 0362,Analgesic,LifeMeds,BATCH-3616-C,204.75,305.57,485,2028-02-26,439964322168
Product 0363,Dermatology,CureChem,BATCH-4033-E,416.46,483.51,57,2028-03-14,226285101355
Product 0364,Antibiotic,NovaPharma,BATCH-7320-E,54.91,71.12,390,2028-03-23,680416001957
Product 0365,Dermatology,PentaHealth,BATCH-3189-D,79.48,110.39,124,2027-01-13,954428495305
Product 0366,Antihistamine,PharmaPlus,BATCH-6764-D,232.42,292.86,317,2028-01-07,315993673716
Product 0367,Vitamin,CareGen,BATCH-9510-A,32.13,46.18,41,2027-04-04,234345562715
Product 0368,Antibiotic,CareGen,BATCH-7963-C,312.02,424.01,201,2028-02-03,337222992164
Product 0369,Diabetes,BioHeal,BATCH-9950-C,62.22,77.59,162,2027-02-28,465230400603
Product 0370,Vitamin,CureChem,BATCH-4287-E,322.65,454.18,463,2026-07-21,560331370284
Product 0371,Analgesic,WellLife,BATCH-8058-E,442.46,640.60,467,2027-01-23,877020369349
Product 0372,Antibiotic,PentaHealth,BATCH-4680-C,163.83,207.24,299,2026-10-22,351262855615
Product 0373,Respiratory,LifeMeds,BATCH-6420-B,237.77,355.99,280,2027-10-16,967090774890
Product 0374,Analgesic,MediPharm,BATCH-4682-D,487.65,655.78,224,2027-04-03,754152597662
Product 0375,Vitamin,WellLife,BATCH-2368-E,170.43,219.88,256,2026-10-01,947819211054
Product 0376,Dermatology,BioHeal,BATCH-4790-A,43.63,57.57,132,2026-08-03,951195159638
Product 0377,Antacid,PentaHealth,BATCH-4394-A,197.72,238.35,488,2027-04-05,691160575713
Product 0378,Vitamin,PharmaPlus,BATCH-1078-E,302.84,377.13,447,2027-03-16,215213629574
Product 0379,Antiseptic,PharmaPlus,BATCH-8241-D,151.60,196.26,154,2026-07-16,359738648432
Product 0380,Antiseptic,NovaPharma,BATCH-4423-B,147.51,177.47,113,2026-09-02,820445951551
Product 0381,Vitamin,CureChem,BATCH-6976-B,257.52,312.02,278,2026-09-08,816072261716
Product 0382,Vitamin,WellLife,BATCH-1621-A,452.81,536.73,407,2028-06-15,442280565517
Product 0383,Antacid,PharmaPlus,BATCH-5573-D,332.91,467.95,360,2028-05-05,269288054322
Product 0384,Antibiotic,CureChem,BATCH-7005-B,410.90,534.59,309,2026-12-09,344414041815
Product 0385,Vitamin,BioHeal,BATCH-1628-B,494.95,598.18,69,2027-12-15,829875356816
Product 0386,Antacid,PharmaPlus,BATCH-7308-D,462.07,560.22,354,2026-06-21,342564845180
Product 0387,Cardiac,WellLife,BATCH-3463-A,453.40,658.50,430,2026-07-30,457085942427
Product 0388,Antibiotic,NovaPharma,BATCH-2087-E,301.57,382.54,369,2027-07-23,633256472209
Product 0389,Antihistamine,BioHeal,BATCH-3601-D,498.22,654.97,440,2027-03-12,990856529048
Product 0390,Respiratory,CareGen,BATCH-3580-C,159.07,201.20,163,2028-01-24,256502668619
Product 0391,Dermatology,PentaHealth,BATCH-9582-B,95.90,112.21,294,2026-06-20,116108381613
Product 0392,Antibiotic,LifeMeds,BATCH-9434-A,204.22,246.51,236,2028-02-27,179738392194
Product 0393,Cardiac,PentaHealth,BATCH-2993-E,489.55,581.79,182,2026-12-01,955242859919
Product 0394,Antacid,CureChem,BATCH-8081-B,357.42,530.26,14,2028-01-25,952390092930
Product 0395,Antacid,LifeMeds,BATCH-9483-C,315.72,382.05,217,2026-10-07,214275703333
Product 0396,Diabetes,HealthCorp,BATCH-6623-E,312.62,360.89,299,2027-04-24,676681777123
Product 0397,Analgesic,CureChem,BATCH-4084-A,368.17,540.82,214,2028-02-22,926549164355
Product 0398,Antihistamine,WellLife,BATCH-5769-A,145.97,186.42,439,2027-03-16,435845120700
Product 0399,Antiseptic,CureChem,BATCH-7949-B,128.12,151.74,98,2027-07-14,272269078178
Product 0400,Analgesic,PharmaPlus,BATCH-3651-E,157.30,215.62,131,2027-11-05,443464279076
Product 0401,Dermatology,CareGen,BATCH-5672-D,376.19,511.94,18,2026-04-04,871076700372
Product 0402,Diabetes,PentaHealth,BATCH-2863-B,221.70,284.63,482,2026-11-10,470331269215
Product 0403,Vitamin,MediPharm,BATCH-1579-D,112.13,151.58,67,2026-04-23,199646088835
Product 0404,Analgesic,PentaHealth,BATCH-9938-D,73.83,108.28,133,2028-01-17,865078397408
Product 0405,Antiseptic,CureChem,BATCH-8490-B,498.08,591.32,275,2027-01-16,158724006821
Product 0406,Cardiac,CureChem,BATCH-8477-A,292.86,377.84,87,2027-07-21,325346576382
Product 0407,Cardiac,PharmaPlus,BATCH-1134-E,232.98,317.48,352,2027-05-23,415237313364
Product 0408,Dermatology,LifeMeds,BATCH-6605-E,357.81,430.72,317,2027-01-19,746827697756
Product 0409,Diabetes,BioHeal,BATCH-9427-E,431.25,590.47,237,2028-01-16,894583753372
Product 0410,Antibiotic,LifeMeds,BATCH-6017-D,71.96,88.58,79,2027-05-09,676017193867
Product 0411,Antacid,HealthCorp,BATCH-8794-B,339.61,452.78,436,2028-03-17,929386266233
Product 0412,Respiratory,LifeMeds,BATCH-1305-D,84.62,119.72,90,2026-09-05,146205944140
Product 0413,Vitamin,NovaPharma,BATCH-7078-B,381.43,514.82,50,2026-12-03,538719298065
Product 0414,Antiseptic,BioHeal,BATCH-9931-D,44.59,57.53,419,2028-06-13,389233504802
Product 0415,Analgesic,CareGen,BATCH-3612-E,365.17,509.90,261,2027-02-05,805306189737
Product 0416,Antacid,WellLife,BATCH-7223-A,186.18,220.46,64,2028-02-24,416961368094
Product 0417,Diabetes,WellLife,BATCH-7165-C,305.72,391.26,367,2026-12-15,368735221071
Product 0418,Analgesic,MediPharm,BATCH-8018-B,256.13,310.48,432,2027-03-04,907600647699
Product 0419,Antibiotic,MediPharm,BATCH-2700-D,257.30,324.95,163,2028-05-18,691879905697
Product 0420,Antibiotic,PharmaPlus,BATCH-1551-B,483.12,699.20,56,2027-06-18,110394906768
Product 0421,Cardiac,CureChem,BATCH-3260-A,47.71,57.37,137,2026-05-20,793853480821
Product 0422,Antibiotic,MediPharm,BATCH-9125-C,474.32,610.32,79,2027-02-07,759483611286
Product 0423,Diabetes,PharmaPlus,BATCH-8443-A,284.44,381.02,75,2027-06-11,356159979173
Product 0424,Dermatology,WellLife,BATCH-9265-A,158.42,230.67,439,2027-06-29,563747597335
Product 0425,Respiratory,CureChem,BATCH-6159-B,424.70,585.94,31,2027-10-02,235717190215
Product 0426,Analgesic,WellLife,BATCH-8771-A,157.48,186.46,66,2026-05-22,299222049734
Product 0427,Respiratory,BioHeal,BATCH-1925-A,43.19,56.63,31,2026-11-12,294948266093
Product 0428,Antiseptic,MediPharm,BATCH-4947-E,173.72,242.37,66,2026-07-10,749918552653
Product 0429,Vitamin,CureChem,BATCH-7008-C,436.14,653.67,15,2027-01-25,918694945880
Product 0430,Antibiotic,PharmaPlus,BATCH-8706-D,189.20,243.44,282,2028-06-05,990446826399
Product 0431,Antacid,PharmaPlus,BATCH-4176-C,261.54,354.25,218,2026-12-23,104941959891
Product 0432,Antiseptic,MediPharm,BATCH-8038-C,144.09,189.50,212,2028-05-11,977002424429
Product 0433,Analgesic,BioHeal,BATCH-1653-A,307.06,453.45,421,2027-12-15,376630688528
Product 0434,Vitamin,NovaPharma,BATCH-7898-A,295.15,357.06,167,2028-05-02,942942464973
Product 0435,Dermatology,BioHeal,BATCH-8965-A,134.48,165.04,354,2026-05-20,479705777814
Product 0436,Antibiotic,HealthCorp,BATCH-7300-B,415.00,554.44,80,2026-05-04,832865001190
Product 0437,Diabetes,NovaPharma,BATCH-8034-C,152.47,186.75,458,2028-01-13,144623687421
Product 0438,Cardiac,HealthCorp,BATCH-3055-B,493.36,711.42,209,2027-10-25,282307017998
Product 0439,Antibiotic,PentaHealth,BATCH-4142-A,181.91,251.18,18,2027-01-03,865072996524
Product 0440,Analgesic,NovaPharma,BATCH-7362-E,270.17,347.77,298,2026-05-23,958862856134
Product 0441,Cardiac,CareGen,BATCH-5871-B,488.56,672.30,137,2027-03-20,118345373340
Product 0442,Cardiac,CureChem,BATCH-3633-D,390.74,500.34,369,2028-06-17,297038829424
Product 0443,Vitamin,NovaPharma,BATCH-1750-A,419.85,558.89,239,2027-03-04,817895186233
Product 0444,Antiseptic,CareGen,BATCH-3117-A,198.15,241.14,58,2027-09-10,112419612129
Product 0445,Dermatology,PharmaPlus,BATCH-4043-D,352.91,487.99,222,2026-06-13,723717707781
Product 0446,Vitamin,WellLife,BATCH-3049-D,469.99,608.73,136,2028-03-18,854490829624
Product 0447,Antibiotic,BioHeal,BATCH-2123-B,112.13,164.48,296,2028-06-05,520643624386
Product 0448,Antihistamine,CareGen,BATCH-2366-A,426.49,543.93,259,2027-06-16,284206692349
Product 0449,Antibiotic,NovaPharma,BATCH-7298-E,318.50,437.98,34,2028-05-11,970705571158
Product 0450,Analgesic,WellLife,BATCH-7399-A,434.72,519.41,69,2026-10-14,507211885570
Product 0451,Antacid,LifeMeds,BATCH-8989-A,265.98,328.03,306,2027-06-07,986751035737
Product 0452,Respiratory,WellLife,BATCH-6463-C,119.65,177.17,153,2027-02-02,520396801360
Product 0453,Dermatology,CareGen,BATCH-8199-C,56.57,84.51,111,2026-04-17,732275588145
Product 0454,Antacid,LifeMeds,BATCH-3712-A,337.23,456.61,31,2027-10-04,428696114348
Product 0455,Cardiac,PharmaPlus,BATCH-1784-E,218.26,293.73,239,2027-03-16,233174424202
Product 0456,Dermatology,BioHeal,BATCH-3597-C,231.37,295.21,417,2027-08-04,680382045725
Product 0457,Respiratory,NovaPharma,BATCH-7047-B,402.15,556.30,74,2027-02-27,523571175722
Product 0458,Antacid,PentaHealth,BATCH-7227-A,78.79,106.26,424,2027-09-22,883421319631
Product 0459,Respiratory,WellLife,BATCH-9373-E,297.99,407.86,15,2026-12-04,777572263251
Product 0460,Antacid,HealthCorp,BATCH-6260-C,443.60,605.88,116,2028-02-01,551736282143
Product 0461,Antacid,CureChem,BATCH-6043-C,400.35,487.51,76,2028-03-04,316660416652
Product 0462,Respiratory,MediPharm,BATCH-1498-A,297.31,353.22,402,2027-03-03,625105470120
Product 0463,Dermatology,LifeMeds,BATCH-2948-E,450.51,608.23,334,2028-01-20,691250097590
Product 0464,Cardiac,HealthCorp,BATCH-7779-A,366.31,465.53,368,2027-12-24,264645996210
Product 0465,Vitamin,BioHeal,BATCH-7277-E,203.49,285.14,460,2028-06-03,675454643473
Product 0466,Dermatology,LifeMeds,BATCH-6557-A,237.95,347.15,191,2028-04-16,228042178866
Product 0467,Analgesic,PharmaPlus,BATCH-6969-A,169.89,231.81,154,2028-06-04,379327978115
Product 0468,Antacid,CureChem,BATCH-7860-C,277.28,322.59,193,2026-10-09,111435683266
Product 0469,Antihistamine,HealthCorp,BATCH-1935-D,353.75,433.89,324,2026-07-21,754779724809
Product 0470,Dermatology,PentaHealth,BATCH-9478-E,201.22,250.26,335,2027-02-17,352316731884
Product 0471,Cardiac,HealthCorp,BATCH-5644-E,181.73,260.39,211,2027-02-11,233292723483
Product 0472,Antihistamine,LifeMeds,BATCH-2623-B,176.24,261.97,379,2027-11-23,853996767381
Product 0473,Vitamin,CureChem,BATCH-4735-D,340.18,480.44,354,2026-07-30,504185893656
Product 0474,Dermatology,CareGen,BATCH-1528-E,261.13,348.18,448,2026-04-13,331862521433
Product 0475,Vitamin,WellLife,BATCH-9320-C,430.92,508.33,146,2027-01-27,430587598707
Product 0476,Vitamin,NovaPharma,BATCH-1946-D,274.43,368.55,100,2026-11-28,526542492116
Product 0477,Dermatology,BioHeal,BATCH-8668-A,347.30,467.60,206,2026-07-30,163464744397
Product 0478,Antacid,NovaPharma,BATCH-1761-D,366.98,509.24,88,2026-08-28,261288763455
Product 0479,Respiratory,CareGen,BATCH-3542-E,189.73,246.62,427,2027-09-01,482267736005
Product 0480,Vitamin,NovaPharma,BATCH-9638-D,231.43,286.24,68,2026-09-23,818487335960
Product 0481,Diabetes,CureChem,BATCH-5041-C,40.13,47.36,459,2027-08-22,713658815176
Product 0482,Antibiotic,BioHeal,BATCH-5214-C,273.32,382.51,68,2027-08-26,869549003206
Product 0483,Antihistamine,HealthCorp,BATCH-3428-C,106.60,158.69,374,2027-03-31,882853233570
Product 0484,Diabetes,CureChem,BATCH-6825-D,472.87,632.98,190,2026-11-28,893199961982
Product 0485,Diabetes,PentaHealth,BATCH-8717-A,278.34,389.66,365,2026-05-19,680108414774
Product 0486,Antihistamine,CareGen,BATCH-3748-B,189.07,231.32,239,2028-04-22,998790546910
Product 0487,Vitamin,NovaPharma,BATCH-5095-A,477.47,580.41,78,2028-06-05,389688037392
Product 0488,Vitamin,CureChem,BATCH-5268-D,349.06,507.01,389,2027-04-23,634536137333
Product 0489,Vitamin,PentaHealth,BATCH-2818-D,62.42,83.91,13,2026-06-25,561181263888
Product 0490,Cardiac,BioHeal,BATCH-3899-A,185.39,235.00,302,2028-05-19,321237247810
Product 0491,Cardiac,NovaPharma,BATCH-9278-C,391.17,569.74,363,2027-09-07,330990479569
Product 0492,Dermatology,BioHeal,BATCH-7373-E,381.65,516.55,328,2026-11-18,362577726533
Product 0493,Diabetes,HealthCorp,BATCH-7463-C,303.91,366.06,338,2026-10-02,472390597905
Product 0494,Analgesic,HealthCorp,BATCH-9533-C,381.96,558.36,266,2027-08-16,823926067098
Product 0495,Analgesic,LifeMeds,BATCH-8897-D,446.22,532.62,57,2028-01-05,714792516938
Product 0496,Vitamin,BioHeal,BATCH-6504-B,381.81,541.62,58,2027-08-21,931293064320
Product 0497,Diabetes,LifeMeds,BATCH-4839-B,155.10,224.32,77,2026-05-12,778330842505
Product 0498,Diabetes,PentaHealth,BATCH-2926-B,317.09,466.42,157,2027-03-18,651226532867
Product 0499,Analgesic,PharmaPlus,BATCH-2080-A,307.84,434.90,215,2028-03-13,702002479229
Product 0500,Dermatology,PentaHealth,BATCH-9368-C,425.01,618.45,377,2027-10-07,620847748892
Product 0501,Diabetes,LifeMeds,BATCH-2812-A,120.02,139.90,436,2026-06-02,484590298978
Product 0502,Diabetes,PharmaPlus,BATCH-3626-D,180.00,242.13,124,2028-02-24,839883881313
Product 0503,Diabetes,PentaHealth,BATCH-1271-A,448.86,638.32,173,2027-12-19,456476806357
Product 0504,Diabetes,PharmaPlus,BATCH-9194-E,478.40,625.78,262,2026-04-30,435728692489
Product 0505,Antacid,MediPharm,BATCH-3638-D,322.05,479.84,282,2028-01-17,877662080661
Product 0506,Analgesic,CareGen,BATCH-5358-D,92.40,117.51,168,2026-12-17,448457744162
Product 0507,Dermatology,CareGen,BATCH-7189-A,463.91,641.44,115,2027-03-10,768286257987
Product 0508,Vitamin,BioHeal,BATCH-9657-E,457.06,567.67,265,2027-01-14,558910418910
Product 0509,Analgesic,PentaHealth,BATCH-4767-D,62.71,87.47,428,2026-07-27,630747369582
Product 0510,Antacid,MediPharm,BATCH-1424-D,439.11,573.15,343,2028-02-05,151897965132
Product 0511,Vitamin,BioHeal,BATCH-3485-C,136.82,188.77,357,2027-03-19,330340902774
Product 0512,Vitamin,MediPharm,BATCH-8942-B,455.63,614.70,356,2026-12-27,524964903564
Product 0513,Antiseptic,PharmaPlus,BATCH-2505-D,388.47,531.46,156,2026-08-24,111895111650
Product 0514,Dermatology,PharmaPlus,BATCH-7549-E,258.39,371.38,242,2027-02-01,616402115095
Product 0515,Analgesic,CareGen,BATCH-3312-C,374.31,461.43,120,2027-04-29,438069136363
Product 0516,Antihistamine,NovaPharma,BATCH-4683-B,205.93,303.59,38,2026-05-24,734190781404
Product 0517,Antiseptic,BioHeal,BATCH-3218-D,496.50,620.63,365,2027-09-01,115663179258
Product 0518,Analgesic,LifeMeds,BATCH-1179-E,255.96,324.40,14,2026-08-09,143767360690
Product 0519,Respiratory,CureChem,BATCH-4169-B,208.62,264.08,117,2026-09-07,963370879937
Product 0520,Antihistamine,LifeMeds,BATCH-5801-C,465.43,556.09,65,2027-02-06,186665162881
Product 0521,Respiratory,WellLife,BATCH-9898-A,95.56,138.81,496,2027-04-27,716721763722
Product 0522,Antacid,BioHeal,BATCH-2106-C,433.96,586.10,335,2026-10-27,575041658534
Product 0523,Antibiotic,PharmaPlus,BATCH-2698-D,232.10,269.43,151,2028-03-23,277606810783
Product 0524,Cardiac,PharmaPlus,BATCH-2206-B,318.92,367.21,377,2026-07-05,575298390019
Product 0525,Analgesic,CareGen,BATCH-6192-A,275.06,385.82,376,2027-10-19,705215936006
Product 0526,Diabetes,BioHeal,BATCH-1390-C,105.71,147.60,171,2026-10-08,327874794805
Product 0527,Dermatology,CureChem,BATCH-5322-B,74.38,108.40,98,2027-05-30,331357442930
Product 0528,Antiseptic,LifeMeds,BATCH-3137-E,357.37,467.45,53,2027-02-27,890374250761
Product 0529,Analgesic,BioHeal,BATCH-5823-B,54.03,80.28,113,2026-07-01,508328264043
Product 0530,Vitamin,WellLife,BATCH-4068-B,146.46,182.09,369,2027-12-23,487531881449
Product 0531,Dermatology,HealthCorp,BATCH-9198-E,378.79,436.22,400,2027-11-18,468724616341
Product 0532,Antacid,WellLife,BATCH-5965-A,290.95,362.77,133,2027-08-12,989656215483
Product 0533,Antihistamine,BioHeal,BATCH-5824-A,350.88,501.60,483,2026-11-12,701864277689
Product 0534,Antacid,CareGen,BATCH-3211-B,381.67,569.17,104,2027-11-04,472469308796
Product 0535,Analgesic,WellLife,BATCH-2592-A,483.81,683.31,436,2026-08-15,892134917766
Product 0536,Diabetes,WellLife,BATCH-1151-A,487.78,619.03,115,2027-01-24,905738555153
Product 0537,Analgesic,NovaPharma,BATCH-9085-C,128.88,148.32,396,2026-05-27,634672151605
Product 0538,Vitamin,CareGen,BATCH-3414-E,217.97,281.57,434,2028-06-08,965939816962
Product 0539,Respiratory,CureChem,BATCH-8791-A,226.07,277.75,249,2026-09-22,340258867564
Product 0540,Respiratory,CareGen,BATCH-7274-D,50.80,73.38,392,2026-12-04,570613747482
Product 0541,Antihistamine,CareGen,BATCH-5923-A,251.56,321.94,192,2028-02-02,579141229140
Product 0542,Respiratory,NovaPharma,BATCH-4932-A,103.08,140.34,442,2027-02-21,645516361276
Product 0543,Dermatology,NovaPharma,BATCH-6279-E,311.80,443.64,100,2027-02-19,823826170311
Product 0544,Analgesic,PentaHealth,BATCH-4341-C,309.44,380.47,436,2027-08-21,660377882985
Product 0545,Antacid,BioHeal,BATCH-5433-B,387.53,486.85,278,2027-05-11,445251710982
Product 0546,Antihistamine,HealthCorp,BATCH-5215-D,270.16,395.23,439,2026-04-14,805915070350
Product 0547,Vitamin,CareGen,BATCH-7622-B,251.46,377.16,443,2027-09-21,480720147700
Product 0548,Antihistamine,MediPharm,BATCH-3329-E,171.73,248.34,144,2026-07-21,441376482046
Product 0549,Diabetes,PentaHealth,BATCH-1010-C,367.48,489.98,385,2027-10-21,963013822242
Product 0550,Antibiotic,PentaHealth,BATCH-8385-D,316.79,443.60,374,2027-05-22,487436667268
Product 0551,Cardiac,PharmaPlus,BATCH-7829-B,80.87,111.96,312,2028-04-09,589966364119
